,Date,AQI,Sample_Duration,Pollutant_Type
257,1989-08-20,51,24 HOUR,81102
258,1989-08-20,42,24 HOUR,81102
259,1989-08-26,53,24 HOUR,81102
260,1989-08-26,43,24 HOUR,81102
261,1989-09-01,57,24 HOUR,81102
262,1989-09-01,51,24 HOUR,81102
263,1989-09-07,60,24 HOUR,81102
264,1989-09-07,51,24 HOUR,81102
265,1989-09-13,71,24 HOUR,81102
266,1989-09-13,59,24 HOUR,81102
267,1989-09-19,27,24 HOUR,81102
268,1989-09-19,20,24 HOUR,81102
269,1989-09-25,56,24 HOUR,81102
270,1989-09-25,49,24 HOUR,81102
271,1989-10-01,29,24 HOUR,81102
272,1989-10-01,43,24 HOUR,81102
273,1989-10-07,65,24 HOUR,81102
274,1989-10-07,56,24 HOUR,81102
275,1989-10-13,86,24 HOUR,81102
276,1989-10-13,72,24 HOUR,81102
277,1989-10-19,66,24 HOUR,81102
278,1989-10-19,56,24 HOUR,81102
279,1989-10-25,21,24 HOUR,81102
280,1989-10-25,15,24 HOUR,81102
281,1989-10-31,72,24 HOUR,81102
282,1989-10-31,64,24 HOUR,81102
283,1989-11-06,79,24 HOUR,81102
284,1989-11-06,72,24 HOUR,81102
285,1989-11-12,100,24 HOUR,81102
286,1989-11-12,71,24 HOUR,81102
287,1989-11-18,85,24 HOUR,81102
288,1989-11-18,77,24 HOUR,81102
289,1989-11-24,125,24 HOUR,81102
290,1989-11-24,117,24 HOUR,81102
291,1989-11-30,66,24 HOUR,81102
292,1989-11-30,62,24 HOUR,81102
293,1989-12-06,99,24 HOUR,81102
294,1989-12-06,92,24 HOUR,81102
295,1989-12-12,51,24 HOUR,81102
296,1989-12-12,52,24 HOUR,81102
297,1989-12-18,109,24 HOUR,81102
298,1989-12-24,51,24 HOUR,81102
299,1989-12-30,70,24 HOUR,81102
300,1989-12-30,63,24 HOUR,81102
301,1989-05-10,14,24 HOUR,81102
302,1989-05-26,22,24 HOUR,81102
303,1989-06-21,54,24 HOUR,81102
304,1989-08-15,37,24 HOUR,81102
305,1989-01-10,53,24 HOUR,81102
306,1989-02-08,41,24 HOUR,81102
307,1989-02-15,42,24 HOUR,81102
308,1989-02-21,43,24 HOUR,81102
309,1989-02-27,53,24 HOUR,81102
310,1989-03-05,37,24 HOUR,81102
311,1989-03-11,19,24 HOUR,81102
312,1989-03-17,23,24 HOUR,81102
313,1989-03-23,37,24 HOUR,81102
314,1989-04-04,42,24 HOUR,81102
315,1989-04-10,49,24 HOUR,81102
316,1989-04-16,50,24 HOUR,81102
317,1989-04-22,34,24 HOUR,81102
318,1989-04-28,35,24 HOUR,81102
319,1989-05-04,47,24 HOUR,81102
320,1989-05-10,15,24 HOUR,81102
321,1989-05-16,37,24 HOUR,81102
322,1989-05-22,52,24 HOUR,81102
323,1989-05-28,28,24 HOUR,81102
324,1989-06-03,74,24 HOUR,81102
325,1989-06-09,55,24 HOUR,81102
326,1989-06-15,48,24 HOUR,81102
327,1989-06-21,63,24 HOUR,81102
328,1989-06-27,44,24 HOUR,81102
329,1989-07-03,52,24 HOUR,81102
330,1989-07-09,51,24 HOUR,81102
331,1989-07-15,52,24 HOUR,81102
332,1989-07-21,58,24 HOUR,81102
333,1989-07-27,56,24 HOUR,81102
334,1989-08-02,51,24 HOUR,81102
335,1989-08-08,53,24 HOUR,81102
336,1989-08-14,50,24 HOUR,81102
337,1989-08-20,43,24 HOUR,81102
338,1989-08-26,45,24 HOUR,81102
339,1989-09-01,53,24 HOUR,81102
340,1989-09-07,60,24 HOUR,81102
341,1989-09-13,56,24 HOUR,81102
342,1989-09-24,48,24 HOUR,81102
343,1989-10-01,36,24 HOUR,81102
344,1989-10-07,49,24 HOUR,81102
345,1989-10-19,44,24 HOUR,81102
346,1989-10-25,16,24 HOUR,81102
347,1989-10-31,55,24 HOUR,81102
348,1989-11-06,74,24 HOUR,81102
349,1989-11-12,84,24 HOUR,81102
350,1989-11-18,64,24 HOUR,81102
351,1989-11-24,107,24 HOUR,81102
352,1989-11-30,50,24 HOUR,81102
353,1989-12-06,73,24 HOUR,81102
354,1989-12-12,68,24 HOUR,81102
355,1989-12-18,101,24 HOUR,81102
356,1989-12-30,61,24 HOUR,81102
357,1990-01-05,83,24 HOUR,81102
358,1990-01-05,76,24 HOUR,81102
359,1990-01-11,99,24 HOUR,81102
360,1990-01-11,76,24 HOUR,81102
361,1990-01-17,46,24 HOUR,81102
362,1990-01-23,63,24 HOUR,81102
363,1990-01-23,66,24 HOUR,81102
364,1990-01-29,71,24 HOUR,81102
365,1990-01-29,62,24 HOUR,81102
366,1990-02-22,71,24 HOUR,81102
367,1990-02-22,65,24 HOUR,81102
368,1990-02-28,83,24 HOUR,81102
369,1990-02-28,44,24 HOUR,81102
370,1990-03-06,27,24 HOUR,81102
371,1990-03-06,18,24 HOUR,81102
372,1990-03-12,16,24 HOUR,81102
373,1990-03-12,10,24 HOUR,81102
374,1990-03-18,51,24 HOUR,81102
375,1990-03-18,28,24 HOUR,81102
376,1990-03-24,44,24 HOUR,81102
377,1990-03-24,29,24 HOUR,81102
378,1990-03-30,56,24 HOUR,81102
379,1990-03-30,44,24 HOUR,81102
380,1990-04-05,51,24 HOUR,81102
381,1990-04-05,39,24 HOUR,81102
382,1990-04-11,46,24 HOUR,81102
383,1990-04-11,31,24 HOUR,81102
384,1990-04-17,30,24 HOUR,81102
385,1990-04-17,21,24 HOUR,81102
386,1990-04-23,13,24 HOUR,81102
387,1990-04-23,9,24 HOUR,81102
388,1990-04-29,32,24 HOUR,81102
389,1990-04-29,24,24 HOUR,81102
390,1990-05-05,49,24 HOUR,81102
391,1990-05-05,39,24 HOUR,81102
392,1990-05-11,59,24 HOUR,81102
393,1990-05-11,52,24 HOUR,81102
394,1990-05-17,60,24 HOUR,81102
395,1990-05-17,53,24 HOUR,81102
396,1990-05-23,80,24 HOUR,81102
397,1990-05-23,62,24 HOUR,81102
398,1990-05-29,19,24 HOUR,81102
399,1990-05-29,16,24 HOUR,81102
400,1990-06-04,31,24 HOUR,81102
401,1990-06-04,25,24 HOUR,81102
402,1990-06-10,28,24 HOUR,81102
403,1990-06-10,51,24 HOUR,81102
404,1990-06-16,36,24 HOUR,81102
405,1990-06-16,29,24 HOUR,81102
406,1990-06-22,166,24 HOUR,81102
407,1990-06-28,46,24 HOUR,81102
408,1990-06-28,39,24 HOUR,81102
409,1990-07-04,44,24 HOUR,81102
410,1990-07-04,36,24 HOUR,81102
411,1990-07-18,33,24 HOUR,81102
412,1990-07-18,47,24 HOUR,81102
413,1990-07-24,40,24 HOUR,81102
414,1990-07-28,53,24 HOUR,81102
415,1990-07-28,48,24 HOUR,81102
416,1990-07-31,46,24 HOUR,81102
417,1990-08-03,55,24 HOUR,81102
418,1990-08-03,51,24 HOUR,81102
419,1990-08-09,66,24 HOUR,81102
420,1990-08-15,53,24 HOUR,81102
421,1990-08-15,44,24 HOUR,81102
422,1990-08-21,53,24 HOUR,81102
423,1990-08-27,50,24 HOUR,81102
424,1990-08-27,39,24 HOUR,81102
425,1990-09-02,53,24 HOUR,81102
426,1990-09-02,46,24 HOUR,81102
427,1990-09-08,58,24 HOUR,81102
428,1990-09-08,52,24 HOUR,81102
429,1990-09-14,58,24 HOUR,81102
430,1990-09-14,51,24 HOUR,81102
431,1990-09-20,68,24 HOUR,81102
432,1990-09-20,59,24 HOUR,81102
433,1990-09-26,56,24 HOUR,81102
434,1990-09-26,47,24 HOUR,81102
435,1990-10-02,69,24 HOUR,81102
436,1990-10-02,64,24 HOUR,81102
437,1990-10-08,65,24 HOUR,81102
438,1990-10-14,71,24 HOUR,81102
439,1990-10-14,61,24 HOUR,81102
440,1990-10-20,59,24 HOUR,81102
441,1990-10-20,52,24 HOUR,81102
442,1990-10-26,102,24 HOUR,81102
443,1990-10-26,88,24 HOUR,81102
444,1990-11-01,41,24 HOUR,81102
445,1990-11-01,34,24 HOUR,81102
446,1990-11-07,76,24 HOUR,81102
447,1990-11-07,64,24 HOUR,81102
448,1990-11-13,104,24 HOUR,81102
449,1990-11-19,85,24 HOUR,81102
450,1990-11-19,78,24 HOUR,81102
451,1990-11-25,71,24 HOUR,81102
452,1990-11-25,64,24 HOUR,81102
453,1990-12-01,96,24 HOUR,81102
454,1990-12-01,92,24 HOUR,81102
455,1990-12-07,127,24 HOUR,81102
456,1990-12-07,105,24 HOUR,81102
457,1990-12-13,79,24 HOUR,81102
458,1990-12-13,72,24 HOUR,81102
459,1990-12-19,49,24 HOUR,81102
460,1990-12-19,33,24 HOUR,81102
461,1990-12-28,87,24 HOUR,81102
462,1990-12-31,103,24 HOUR,81102
463,1990-12-31,70,24 HOUR,81102
